id,title,keywords,ratings,confidences,withdraw,review_lengths,abstract,comments,url,ratings_avg,ratings_std,confidence_avg,confidence_std
xAqcJ9XoTf,On the Stability of Expressive Positional Encodings for Graph Neural Networks,"['graph neural networks', 'positional encoding', 'stability']","[6, 5, 6, 5, 8]","[4, 4, 3, 3, 4]",0,"[413, 581, 437, 251, 461]","Designing effective positional encodings for graphs is key to building powerful graph transformers and enhancing message-passing graph neural networks. Although widespread, using Laplacian eigenvectors as positional encodings faces two fundamental challenges: (1) *Non-uniqueness*: there are many different eigendecompositions of the same Laplacian, and (2) *Instability*: small perturbations to the Laplacian could result in completely different eigenspaces, leading to unpredictable changes in positional encoding.  Despite many attempts to address non-uniqueness, most methods overlook stability, leading to poor generalization on unseen graph structures. We identify the cause of instability to be the use of ""hard partition'' of eigenspaces. Hence, we introduce Stable and Expressive Positional Encodings (SPE), an architecture for processing eigenvectors that uses eigenvalues to ``softly partition'' eigenspaces. SPE is the first architecture that is (1) provably stable, and (2) universally expressive for basis invariant functions whilst respecting all symmetries of eigenvectors. Besides guaranteed stability, we prove that SPE is at least as expressive as existing methods, and highly capable of counting graph structures. Finally, we evaluate the effectiveness of our method on molecular property prediction, and out-of-distribution generalization tasks, finding improved generalization compared to existing positional encoding methods.",27,https://openreview.net/forum?id=xAqcJ9XoTf,6.0,1.0954451150103321,3.6,0.4898979485566356
wwotGBxtC3,Data-Efficient Molecular Generation with Hierarchical Textual Inversion,['Molecular generation'],"[6, 6, 6, 5]","[4, 3, 4, 4]",0,"[183, 197, 320, 289]","Developing an effective molecular generation framework even with a limited number of molecules is often important for its practical deployment, e.g., drug discovery, since acquiring task-related molecular data requires expensive and time-consuming experimental costs. 
To tackle this issue, we introduce Hierarchical textual Inversion for Molecular Generation (HI-Mol), a novel data-efficient molecular generation method.
HI-Mol is inspired by a recent textual inversion technique in the visual domain that achieves data-efficient generation via simple optimization of a new single text token of a pre-trained text-to-image generative model.
However, we find that its naive adoption fails for molecules due to their complicated and structured nature. 
Hence, we propose a hierarchical textual inversion scheme based on introducing low-level tokens that are selected differently per molecule in addition to the original single text token in textual inversion to learn the common concept among molecules.
We then generate molecules using a pre-trained text-to-molecule model by interpolating the low-level tokens.
Extensive experiments demonstrate the superiority of HI-Mol with notable data-efficiency. 
For instance, on QM9, HI-Mol outperforms the prior state-of-the-art method 
with 50$\times$ less training data. 
We also show the efficacy of HI-Mol in various applications, including molecular optimization and low-shot molecular property prediction.",20,https://openreview.net/forum?id=wwotGBxtC3,5.75,0.4330127018922193,3.75,0.4330127018922193
wmw3Jy8MVF,Equivariant Graph Network Approximations of High-Degree Polynomials for Force Field Prediction,"['graph neural network', 'deep learning', 'molecule']","[6, 8, 6, 3]","[3, 4, 4, 3]",0,"[151, 225, 284, 370]","Equivariant deep models have recently been employed to predict atomic potentials and force fields in molecular dynamics. A key advantage of these models is their ability to learn from data without requiring explicit physical modeling. Nevertheless, use of models obeying underlying physics can not only lead to better performance, but also yield physically interpretable results. In this work, we propose a new equivariant network, known as PACE, to incorporate many-body interactions by making use of the Atomic Cluster Expansion (ACE) mechanism. To provide a solid foundation for our work, we perform theoretical analysis showing that our proposed message passing scheme can approximate any equivariant polynomial functions with constrained degree. By relying physical insights and theoretical foundations, we show that our model achieves state-of-the-art performance on atomic potential and force field prediction tasks on commonly used benchmarks.",12,https://openreview.net/forum?id=wmw3Jy8MVF,5.75,1.7853571071357126,3.5,0.5
wDd4Zcnc08,HP$^3$-NS: Hybrid Perovskite Property Prediction Using Nested Subgraph,['Hybrid organic-inorganic materials; graph representation; material designing;'],"[5, 5, 5, 5]","[4, 3, 3, 4]",0,"[307, 206, 75, 165]","Many machine learning techniques have demonstrated superiority in large-scale material screening, enabling rapid and accurate estimation of material properties. However, data representation on hybrid organic-inorganic (HOI) crystalline materials poses a distinct challenge due to their intricate nature. Current graph-based representations often struggle to effectively capture the nuanced interactions between organic and inorganic components. Furthermore, these methods typically rely on detailed structural information that hinders the applications of the methods for novel material discovery. To address these, we propose a nested graph representation HP$^3$-NS (Hybrid Perovskite Property Prediction Using Nested Subgraph) that hierarchically encodes the distinct interactions within hybrid crystals. Our encoding scheme incorporates both intra- and inter-molecular interactions and distinguishes between the organic and inorganic components. This hierarchical representation also removes the dependence on detailed structural data, enabling the model application to newly designed materials. We demonstrate the effectiveness and significance of the method on hybrid perovskite datasets, wherein the proposed HP$^3$-NS achieves significant accuracy improvement compared to current state-of-the-art techniques for hybrid material property prediction tasks. Our method shows promising potential to accelerate hybrid perovskite development by enabling effective computational screening and analysis of HOI crystals.",13,https://openreview.net/forum?id=wDd4Zcnc08,5.0,0.0,3.5,0.5
w2GlpOHdg1,Atoms as Words: A Novel Approach to Deciphering Material Properties using NLP-inspired Machine Learning on Crystallographic Information Files (CIFs),"['Condensed matter physics', 'Materials science', 'Material properties prediction', 'Crystallographic Information Files (CIFs)', 'Natural Language Processing (NLP) in materials', 'Word2Vec-inspired technique', 'Atomic embeddings', 'CIFSemantics model', 'Band gap', 'Formation energy', 'Material representation']","[3, 3, 3, 3]","[5, 4, 5, 5]",1,"[456, 779, 276, 299]","In condensed matter physics and materials science, predicting material properties necessitates understanding intricate many-body interactions. Conventional methods such as density functional theory (DFT) and molecular dynamics (MD) often resort to simplifying approximations and are computationally expensive. Meanwhile, recent machine learning methods use handcrafted descriptors for material representation which sometimes neglect vital crystallographic information and are often limited to single property prediction or a sub-class of crystal structures. In this study, we pioneer an unsupervised strategy, drawing inspiration from Natural Language Processing (NLP), to harness the underutilized potential of Crystallographic Information Files (CIFs). We conceptualize atoms and atomic positions within a CIF similarly to words in textual content. Using a Word2Vec-inspired technique, we produce atomic embeddings that capture intricate atomic relationships. Our model, CIFSemantics, trained on the extensive Material Project dataset, adeptly predicts 15 distinct material properties from the CIFs. Its performance rivals specialized models, marking a significant step forward in material property predictions.",4,https://openreview.net/forum?id=w2GlpOHdg1,3.0,0.0,4.75,0.4330127018922193
uqPnesiGGi,Motif-aware Attribute Masking for Molecular Graph Pre-training,"['Molecular Property Prediction', 'Motifs', 'Graph Learning', 'Self-Supervised Learning']","[3, 6, 5, 6, 3]","[4, 4, 4, 4, 4]",0,"[335, 150, 531, 336, 364]","Attribute reconstruction is used to predict node or edge features in the pre-training of graph neural networks. Given a large number of molecules, they learn to capture structural knowledge, which is transferable for various downstream property prediction tasks and vital in chemistry, biomedicine, and material science. Previous strategies that randomly select nodes to do attribute masking leverage the information of local neighbors. However, the over-reliance of these neighbors inhibits the model's ability to learn long-range dependencies from higher-level substructures. For example, the model would learn little from predicting three carbon atoms in a benzene ring based on the other three but could learn more from the inter-connections between the functional groups, or called chemical motifs. In this work, we propose and investigate motif-aware attribute masking strategies to capture long-range inter-motif structures by leveraging the information of atoms in neighboring motifs. Once each graph is decomposed into disjoint motifs, the features for every node within a sample motif are masked. The graph decoder then predicts the masked features of each node within the motif for reconstruction. We evaluate our approach on eight molecular property prediction datasets and demonstrate its advantages.",18,https://openreview.net/forum?id=uqPnesiGGi,4.6,1.3564659966250536,4.0,0.0
uUEvmY8Gfz,De novo Drug Design using Reinforcement Learning with Dynamic Vocabulary,"['De novo drug design', 'Molecular generation', 'Reinforcement learning', 'Dynamic vocabulary']","[3, 3, 3, 3]","[4, 3, 3, 4]",1,"[356, 333, 349, 396]","De novo drug design constitutes a fundamental challenge within the domain of computer-aided drug discovery (CADD). Generative models relying on SMILES molecular strings have emerged as promising tools for this purpose. However, extant SMILES-based generative models all adopt a fixed vocabulary, leading to deficiencies in both sampling efficiency and interpretability. 
In this paper, we propose RLDV, a reinforcement learning (RL) algorithm based on a GPT agent, which uses a dynamic chemical vocabulary (DV) during RL iterations. Specifically, we utilize SMILES pair encoding to analyze high-scoring molecular SMILES strings generated during the RL process, and extract their high-frequency common substrings, which are then added as new tokens to the agent's vocabulary. These additions aid in the generation of molecules during subsequent RL steps. Experimental results on the GuacaMol benchmark demonstrate that our algorithm outperforms existing models across multiple tasks, highlighting the practical significance of the dynamic vocabulary in drug design. Furthermore, the application of our algorithm in the design of protein-targeting drugs for SARS-CoV-2 underscores its substantial practical relevance.",4,https://openreview.net/forum?id=uUEvmY8Gfz,3.0,0.0,3.5,0.5
uMAujpVi9m,Self-supervised Pocket Pretraining via Protein Fragment-Surroundings Alignment,"['Drug Discovery', 'Pretraining']","[6, 6, 6, 6]","[4, 3, 1, 5]",0,"[252, 224, 379, 390]","Pocket representations play a vital role in various biomedical applications, such as druggability estimation, ligand affinity prediction, and de novo drug design. While existing geometric features and pretrained representations have demonstrated promising results, they usually treat pockets independent of ligands, neglecting the fundamental interactions between them. However, the limited pocket-ligand complex structures available in the PDB database (less than 100 thousand non-redundant pairs) hampers large-scale pretraining endeavors for interaction modeling. To address this constraint, we propose a novel pocket pretraining approach that leverages knowledge from high-resolution atomic protein structures, assisted by highly effective pretrained small molecule representations. By segmenting protein structures into drug-like fragments and their corresponding pockets, we obtain a reasonable simulation of ligand-receptor interactions, resulting in the generation of over 5 million complexes. Subsequently, the pocket encoder is trained in a contrastive manner to align with the representation of pseudo-ligand furnished by some pretrained small molecule encoders. Our method, named ProFSA, achieves state-of-the-art performance across various tasks, including pocket druggability prediction, pocket matching, and ligand binding affinity prediction. Notably, ProFSA surpasses other pretraining methods by a substantial margin. Moreover, our work opens up a new avenue for mitigating the scarcity of protein-ligand complex data through the utilization of high-quality and diverse protein structure databases.",19,https://openreview.net/forum?id=uMAujpVi9m,6.0,0.0,3.25,1.479019945774904
u8L1zzGXRq,Impact of Molecular Representations on Deep Learning Model Comparisons in Drug Response Predictions,"['Cancer Drug Response Prediction', 'Model Comparison']","[3, 3, 1, 5]","[4, 4, 2, 3]",0,"[412, 204, 332, 315]","Deep learning (DL) plays a crucial role in tackling the complexity and heterogeneity of cancer, particularly in predicting drug response. However, the effectiveness of these models is often hindered by inconsistent benchmarks and disparate data sources. To address the gaps in comparisons, we introduce CoMParison workflow for Cross Validation (CMP-CV), an automated cross-validation framework that trains multiple models with user-specified parameters and evaluation metrics. The effectiveness of DL models in predicting drug responses is closely tied to the methods used to represent drugs at the molecular level. In this contribution, we benchmarked commonly leveraged drug representations (graph, molecular descriptors, molecular fingerprints, and  SMILES) to lean and understand the predictive capabilities of the models. We compare the ability of different drug representations to encode different structural properties of the drugs by using prediction errors made by models in different drug descriptor domains. We find that, in terms of the average prediction error over the entire test set, molecular descriptor and encoded SMILES representations perform slightly better than the others. However, we also observe that the rankings of the model performance vary in different regions over the descriptor space studied in this work, emphasizing the importance of domain-based model comparison when selecting a model for a specific application. Our efforts are part of CANcer Distributed Learning Environment (CANDLE), enhancing the model comparison capabilities in cancer research and driving the development of more effective strategies for drug response prediction and optimization.",9,https://openreview.net/forum?id=u8L1zzGXRq,3.0,1.4142135623730951,3.25,0.82915619758885
tNAucRS0QQ,General-purpose Pre-trained Model Towards Cross-domain Molecule Learning,"['molecular representation learning', 'self-supervised pre-training', 'multimodal learning']","[5, 8, 5, 3]","[4, 4, 4, 4]",0,"[482, 340, 594, 349]","Self-supervised pre-training on biomolecules has achieved remarkable success in various biochemical applications, such as drug discovery and protein design. However, in most approaches, the learning model is primarily constructed based on the characteristics of either small molecules or proteins, without exploring their potential binding interactions -- an essential cross-domain relationship crucial for driving numerous biological processes. In this paper, inspired by the success of multimodal learning, we fill this gap by proposing a general-purpose foundation model named **BIT** (an abbreviation for **B**iomolecular **I**nteraction **T**ransformer), which is capable of encoding a range of biochemical entities, including small molecules, proteins, and protein-ligand complexes, as well as various data formats, encompassing both 2D and 3D structures, all within a shared Transformer backbone, via multiple unified self-supervised atom-level *denoising* tasks. We introduce *Mixture-of-Domain-Experts* (MoDE) to handle the biomolecules from diverse chemical domains and incorporate separate structural channels to capture positional dependencies in the molecular structures. The proposed MoDE allows BIT to enable both deep fusion and domain-specific encoding and learn cross-domain relationships on protein-ligand complexes with 3D cocrystal structures. Experimental results demonstrate that BIT achieves exceptional performance in both protein-ligand binding and molecular learning downstream tasks, including binding affinity prediction, virtual screening, and molecular property prediction.",13,https://openreview.net/forum?id=tNAucRS0QQ,5.25,1.7853571071357126,4.0,0.0
tGOOP7DGxs,Graph Transformers for Large Graphs,"['graph representation learning', 'graph transformers', 'large graphs']","[5, 5, 5, 5]","[4, 4, 3, 4]",0,"[626, 460, 230, 245]","Transformers have recently emerged as powerful neural networks for graph learning, showcasing state-of-the-art performance on several graph property prediction tasks. However, these results have been limited to small-scale graphs, such as ligand molecules with fewer than a hundred atoms, where the computational feasibility of the global attention mechanism is possible. The next goal is to scale up these architectures to handle very large graphs on the scale of millions or even billions of nodes. With large-scale graphs, global attention learning is proven impractical due to its quadratic complexity w.r.t. the number of nodes. On the other hand, neighborhood sampling techniques become essential to manage large graph sizes, yet finding the optimal trade-off between speed and accuracy with sampling techniques remains challenging. This work advances representation learning on single large-scale graphs with a focus on identifying model characteristics and critical design constraints for developing scalable graph transformer (GT) architectures. We argue such GT requires layers that can adeptly learn both local and global graph representations while swiftly sampling the graph topology. As such, a key innovation of this work lies in the creation of a fast neighborhood sampling technique coupled with a local attention mechanism that encompasses a 4-hop reception field, but achieved through just 2-hop operations. This local node embedding is then integrated with a global node embedding, acquired via another self-attention layer with an approximate global codebook, before finally sent through a downstream layer for node predictions. The proposed GT framework, named LargeGT, overcomes previous computational bottlenecks and is validated on three large-scale node classification benchmarks. We report a 3× speedup and 16.8% performance gain on ogbn-products and snap-patents compared to their nearest baselines respectively, while we also scale LargeGT on ogbn-papers100M with a 5.9% improvement in performance.",16,https://openreview.net/forum?id=tGOOP7DGxs,5.0,0.0,3.75,0.4330127018922193
sOXKeeVxqW,MoleSG: A Multi-Modality Molecular Pre-training Framework by Joint Non-overlapping Masked Reconstruction of SMILES and Graph,"['Molecular representation learning', 'Molecular pre-training', 'Molecular property prediction', 'AI for science']","[3, 3, 5, 5]","[4, 4, 4, 4]",1,"[398, 327, 306, 547]","Self-supervised pre-training plays an important role in molecular representation learning because labeled molecular data are usually limited in many tasks, such as chemical property prediction and virtual screening. However, most existing molecular pre-training methods focus on one modality of molecular data, and the complementary information of two important modalities, SMILES and graph, are not fully explored. In this study, we propose a straightforward yet effective multi-modality pre-training framework for Molecular SMILES and Graph (MoleSG). Specifically, the SMILES sequence data and graph data are first tokenized so that they can be processed by a unified transformer-based backbone network, which is trained by a masked reconstruction strategy. In addition, we introduce a specialized non-overlapping masking strategy to encourage fine-grained interaction between these two modalities. Experimental results show that our framework achieves state-of-the-art performance in a series of molecular property prediction tasks, and detailed ablation study demonstrates efficacy of the multi-modality structure and the masking strategy.",4,https://openreview.net/forum?id=sOXKeeVxqW,4.0,1.0,4.0,0.0
sLGliHckR8,Drug Discovery with Dynamic Goal-aware Fragments,"['molecule generation', 'drug discovery', 'molecular optimization', 'fragment-based']","[5, 8, 6]","[3, 3, 4]",0,"[130, 569, 148]","Fragment-based drug discovery is an effective strategy for discovering drug candidates in the vast chemical space, and has been widely employed in molecular generative models. However, many existing fragment extraction methods in such models do not take the target chemical properties into account or rely on  heuristic rules. Additionally, the existing fragment-based generative models cannot update the fragment vocabulary with goal-aware fragments newly discovered during the generation. To this end, we propose a molecular generative framework for drug discovery, named *Goal-aware fragment Extraction, Assembly, and Modification* (GEAM). GEAM consists of three modules, each responsible for goal-aware fragment extraction, fragment assembly, and fragment modification. The fragment extraction module identifies important fragments that contribute to the desired target properties with the information bottleneck principle, thereby constructing an effective goal-aware fragment vocabulary. Moreover, GEAM can explore beyond the initial vocabulary with the fragment modification module, and the exploration is further enhanced through the dynamic goal-aware vocabulary update. We experimentally demonstrate that GEAM effectively discovers drug candidates through the generative cycle of the three modules in various drug discovery tasks. The anonymous code is available at https://anonymous.4open.science/r/GEAM-45EF.",9,https://openreview.net/forum?id=sLGliHckR8,6.333333333333333,1.247219128924647,3.3333333333333335,0.4714045207910317
